Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_12518	nacht nucleoside triphosphatase					"Coil (COILS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_12538	related to ibr finger domain protein	GO:0008270	zinc ion binding	F		no IPS match	no IPS match	no IPS match
FVEG_12539	secretory lipase	"GO:0004806, GO:0008270, GO:0016042,  GO:0046486"	"triglyceride lipase activity, zinc ion binding, lipid catabolic process,  glycerolipid metabolic process"	"F, F, P,  P"	EC:3.1.1.3	"IPR005152 (PIRSF), PF12697 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  IPR029058 (SUPERFAMILY)"	"P:GO:0016042,  F:GO:0004806"	"P:lipid catabolic process, F:triglyceride lipase activity"
FVEG_12540	psi-producing oxygenase c	"GO:0020037, GO:0004601, GO:0055114, GO:0006979, GO:0006804, GO:0016705,  GO:0005506"	"heme binding, peroxidase activity, oxidation-reduction process, response to oxidative stress, obsolete peroxidase reaction, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,  iron ion binding"	"F, F, P, P, P, F,  F"	EC:1.11.1.7	"Coil (COILS), Coil (COILS), IPR001128 (G3DSA:1.10.630.GENE3D), IPR002007 (PFAM), IPR002007 (G3DSA:1.10.640.GENE3D), PTHR11903 (PANTHER), PTHR11903:SF7 (PANTHER), IPR002007 (PROSITE_PROFILES),  IPR010255 (SUPERFAMILY)"	"F:GO:0020037, P:GO:0055114, F:GO:0016705, F:GO:0005506, F:GO:0004601,  P:GO:0006979"	"F:heme binding, P:oxidation-reduction process, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, F:iron ion binding, F:peroxidase activity, P:response to oxidative stress"
FVEG_12541	sterigmatocystin biosynthesis peroxidase stcc	"GO:0004601, GO:0006804,  GO:0006979"	"peroxidase activity, obsolete peroxidase reaction,  response to oxidative stress"	"F, P,  P"	EC:1.11.1.7	"IPR000028 (G3DSA:1.10.489.GENE3D), IPR000028 (PFAM), IPR000028 (PROSITE_PROFILES),  IPR000028 (SUPERFAMILY)"	F:GO:0004601	F:peroxidase activity
FVEG_12542	hypothetical protein FVEG_12542					"IPR013901 (PFAM), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_12548	cofilin	"GO:0003779,  GO:0005622"	"actin binding,  intracellular"	"F,  C"		"IPR029006 (G3DSA:3.40.20.GENE3D), IPR002108 (PFAM), IPR002108 (PROSITE_PROFILES),  SSF55753 (SUPERFAMILY)"	"F:GO:0003779,  C:GO:0005622"	"F:actin binding, C:intracellular"
FVEG_12565	c6 transcription	"GO:0000981, GO:0005634, GO:0006355,  GO:0008270"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding, nucleus, regulation of transcription, DNA-templated,  zinc ion binding"	"F, C, P,  F"		"Coil (COILS), IPR001138 (SMART), IPR001138 (PFAM), IPR001138 (G3DSA:4.10.240.GENE3D), IPR021858 (PFAM), PTHR12526 (PANTHER), PTHR12526:SF327 (PANTHER), IPR001138 (PROSITE_PATTERNS), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"F:GO:0000981, C:GO:0005634, P:GO:0006355,  F:GO:0008270"	"F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, C:nucleus, P:regulation of transcription, DNA-templated, F:zinc ion binding"
FVEG_12585	related to ankyrin	GO:0005515	protein binding	F		"IPR002110 (SMART), PF05729 (PFAM), IPR020683 (PFAM), IPR029498 (PFAM), IPR020683 (G3DSA:1.25.40.GENE3D), PTHR24123 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), IPR002110 (PROSITE_PROFILES), IPR020683 (PROSITE_PROFILES), IPR027417 (SUPERFAMILY),  IPR020683 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_12596	tpa: zn 2cys6 transcription factor	"GO:0000981, GO:0006357, GO:0005634, GO:0008270, GO:0004378, GO:0033164,  GO:0000136"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding, regulation of transcription from RNA polymerase II promoter, nucleus, zinc ion binding, GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity, glycolipid 6-alpha-mannosyltransferase activity,  alpha-1,6-mannosyltransferase complex"	"F, P, C, F, F, F,  C"		"IPR001138 (SMART), IPR001138 (PFAM), IPR001138 (G3DSA:4.10.240.GENE3D), IPR027054 (PTHR12526:PANTHER), PTHR12526 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"P:GO:0006355, F:GO:0008270, F:GO:0000981, C:GO:0005634, F:GO:0004378,  F:GO:0033164"	"P:regulation of transcription, DNA-templated, F:zinc ion binding, F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, C:nucleus, F:GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity, F:glycolipid 6-alpha-mannosyltransferase activity"
FVEG_12597	related to dal5-allantoate and ureidosuccinate permease	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR011701 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR11662 (PANTHER), PTHR11662:SF237 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_12598	probable bifunctional p-450:nadph-p450 reductase	"GO:0020037, GO:0005506, GO:0003958, GO:0009055, GO:0070330, GO:0055114, GO:0010181,  GO:0006118"	"heme binding, iron ion binding, NADPH-hemoprotein reductase activity, electron carrier activity, aromatase activity, oxidation-reduction process, FMN binding,  obsolete electron transport"	"F, F, F, F, F, P, F,  P"	"EC:1.14.14.1,  EC:1.6.2.4"	"IPR001128 (PRINTS), IPR002401 (PRINTS), IPR023206 (PIRSF), IPR001128 (G3DSA:1.10.630.GENE3D), IPR001433 (PFAM), IPR003097 (PFAM), IPR001128 (PFAM), G3DSA:3.40.50.80 (GENE3D), IPR023173 (G3DSA:1.20.990.GENE3D), IPR008254 (PFAM), IPR029039 (G3DSA:3.40.50.GENE3D), G3DSA:2.40.30.10 (GENE3D), PTHR19384 (PANTHER), PTHR19384:SF39 (PANTHER), IPR017972 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR017927 (PROSITE_PROFILES), IPR008254 (PROSITE_PROFILES), IPR029039 (SUPERFAMILY), SSF52343 (SUPERFAMILY), IPR017938 (SUPERFAMILY),  IPR001128 (SUPERFAMILY)"	"F:GO:0020037, P:GO:0055114, F:GO:0005506, F:GO:0016705, F:GO:0003958, F:GO:0070330, F:GO:0016491,  F:GO:0010181"	"F:heme binding, P:oxidation-reduction process, F:iron ion binding, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, F:NADPH-hemoprotein reductase activity, F:aromatase activity, F:oxidoreductase activity, F:FMN binding"
FVEG_12601	hypothetical protein FVEG_12601					no IPS match	no IPS match	no IPS match
FVEG_12607	zn2cys6 transcription factor	"GO:0000981, GO:0006357, GO:0005634,  GO:0008270"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding, regulation of transcription from RNA polymerase II promoter, nucleus,  zinc ion binding"	"F, P, C,  F"		"IPR001138 (SMART), IPR001138 (G3DSA:4.10.240.GENE3D), IPR001138 (PFAM), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"C:GO:0005634, F:GO:0000981, P:GO:0006355,  F:GO:0008270"	"C:nucleus, F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, P:regulation of transcription, DNA-templated, F:zinc ion binding"
FVEG_12613	glycosyl hydrolase					"IPR029010 (PFAM), IPR029062 (G3DSA:3.40.50.GENE3D),  IPR029062 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_12616	sodium:neurotransmitter symporter family protein	"GO:0016021, GO:0005328, GO:0006836,  GO:0006812"	"integral component of membrane, neurotransmitter:sodium symporter activity, neurotransmitter transport,  cation transport"	"C, F, P,  P"		"IPR000175 (PRINTS), IPR000175 (PFAM), PTHR11616:SF107 (PANTHER), IPR000175 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR000175 (PROSITE_PROFILES), SSF161070 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0006836, C:GO:0016021,  F:GO:0005328"	"P:neurotransmitter transport, C:integral component of membrane, F:neurotransmitter:sodium symporter activity"
FVEG_12645	mrna 3 -end-processing protein yth1					"IPR029063 (G3DSA:3.40.50.GENE3D), PF13489 (PFAM), PTHR10108 (PANTHER), PTHR10108:SF711 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_12666	alpha-l-arabinofuranosidase axha	"GO:0005576, GO:0046373, GO:0030248, GO:0046556,  GO:0009117"	"extracellular region, L-arabinose metabolic process, cellulose binding, alpha-L-arabinofuranosidase activity,  nucleotide metabolic process"	"C, P, F, F,  P"	EC:3.2.1.55	"IPR023296 (G3DSA:2.115.10.GENE3D), IPR005193 (PFAM), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  IPR023296 (SUPERFAMILY)"	"F:GO:0046556,  P:GO:0046373"	"F:alpha-L-arabinofuranosidase activity, P:L-arabinose metabolic process"
FVEG_12679	mrna 3 -end-processing protein yth1					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108:SF724 (PANTHER), PTHR10108 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_12680	xanthine dehydrogenase	"GO:0050660, GO:0005506, GO:0008762, GO:0009055, GO:0051537, GO:0055114, GO:0006040,  GO:0006118"	"flavin adenine dinucleotide binding, iron ion binding, UDP-N-acetylmuramate dehydrogenase activity, electron carrier activity, 2 iron, 2 sulfur cluster binding, oxidation-reduction process, amino sugar metabolic process,  obsolete electron transport"	"F, F, F, F, F, P, P,  P"	EC:1.1.1.158	"IPR005107 (SMART), IPR000674 (SMART), IPR016208 (PIRSF), IPR005107 (PFAM), IPR016167 (G3DSA:3.30.43.GENE3D), IPR016169 (G3DSA:3.30.465.GENE3D), IPR008274 (PFAM), IPR000674 (PFAM), IPR008274 (G3DSA:3.30.365.GENE3D), IPR000674 (G3DSA:3.90.1170.GENE3D), IPR002888 (PFAM), IPR002888 (G3DSA:1.10.150.GENE3D), G3DSA:3.30.390.50 (GENE3D), IPR002346 (PFAM), PTHR11908 (PANTHER), PTHR11908:SF32 (PANTHER), IPR016166 (PROSITE_PROFILES), IPR008274 (SUPERFAMILY), IPR002888 (SUPERFAMILY), IPR005107 (SUPERFAMILY), IPR016166 (SUPERFAMILY),  IPR000674 (SUPERFAMILY)"	"F:GO:0016491, P:GO:0055114, F:GO:0005506, F:GO:0008762, F:GO:0050660, F:GO:0003824, F:GO:0046872,  F:GO:0016614"	"F:oxidoreductase activity, P:oxidation-reduction process, F:iron ion binding, F:UDP-N-acetylmuramate dehydrogenase activity, F:flavin adenine dinucleotide binding, F:catalytic activity, F:metal ion binding, F:oxidoreductase activity, acting on CH-OH group of donors"
FVEG_12681	dextranase	"GO:0004553,  GO:0005975"	"hydrolase activity, hydrolyzing O-glycosyl compounds,  carbohydrate metabolic process"	"F,  P"		"IPR023226 (G3DSA:2.60.350.GENE3D), IPR012334 (G3DSA:2.160.20.GENE3D), IPR005192 (PFAM), SignalP-noTM (SIGNALP_EUK), IPR023226 (SUPERFAMILY),  IPR011050 (SUPERFAMILY)"	F:GO:0004553	"F:hydrolase activity, hydrolyzing O-glycosyl compounds"
FVEG_12683	taurine dioxygenase family protein	"GO:0055114,  GO:0016702"	"oxidation-reduction process,  oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	"P,  F"	EC:1.13.11	"G3DSA:3.60.130.10 (GENE3D), IPR003819 (PFAM), PTHR30468:SF4 (PANTHER), PTHR30468 (PANTHER),  SSF51197 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0055114"	"F:oxidoreductase activity, P:oxidation-reduction process"
FVEG_12687	mfs sp sugar:h+ symporter	"GO:0022891, GO:0016021, GO:0055085,  GO:0008643"	"substrate-specific transmembrane transporter activity, integral component of membrane, transmembrane transport,  carbohydrate transport"	"F, C, P,  P"		"IPR003663 (PRINTS), G3DSA:1.20.1250.20 (GENE3D), IPR003663 (TIGRFAM), IPR005828 (PFAM), PTHR24063 (PANTHER), PTHR24063:SF330 (PANTHER), IPR005829 (PROSITE_PATTERNS), IPR005829 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0055085, F:GO:0022891, F:GO:0022857, C:GO:0016021, P:GO:0006810,  F:GO:0005215"	"C:membrane, P:transmembrane transport, F:substrate-specific transmembrane transporter activity, F:transmembrane transporter activity, C:integral component of membrane, P:transport, F:transporter activity"
FVEG_12702	hypothetical protein FVEG_12702					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), PS51257 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_12709	hypothetical protein FVEG_12709					"Coil (COILS),  Coil (COILS)"	no GO terms	no GO terms
FVEG_12725	fad binding domain-containing protein	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR003042 (PRINTS), G3DSA:3.50.50.60 (GENE3D), IPR002938 (PFAM), PTHR13789:SF46 (PANTHER), PTHR13789 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  SSF51905 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_12763	dihydropyrimidine dehydrogenase	GO:0016772	"transferase activity, transferring phosphorus-containing groups"	F		"IPR002575 (PFAM), G3DSA:3.90.1200.10 (GENE3D),  IPR011009 (SUPERFAMILY)"	F:GO:0016772	"F:transferase activity, transferring phosphorus-containing groups"
FVEG_12768	alcohol oxidase	"GO:0050660, GO:0008812, GO:0055114, GO:0006066, GO:0006544, GO:0006563,  GO:0006566"	"flavin adenine dinucleotide binding, choline dehydrogenase activity, oxidation-reduction process, alcohol metabolic process, glycine metabolic process, L-serine metabolic process,  threonine metabolic process"	"F, F, P, P, P, P,  P"	EC:1.1.99.1	"IPR012132 (PIRSF), IPR000172 (PFAM), IPR007867 (PFAM), G3DSA:3.50.50.60 (GENE3D), PTHR11552:SF96 (PANTHER), PTHR11552 (PANTHER), IPR000172 (PROSITE_PATTERNS), SSF51905 (SUPERFAMILY),  SSF54373 (SUPERFAMILY)"	"P:GO:0055114, P:GO:0006066, F:GO:0050660, F:GO:0016614,  F:GO:0008812"	"P:oxidation-reduction process, P:alcohol metabolic process, F:flavin adenine dinucleotide binding, F:oxidoreductase activity, acting on CH-OH group of donors, F:choline dehydrogenase activity"
FVEG_12823	n1-acetylpolyamine oxidase	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR001613 (PRINTS), G3DSA:3.90.660.10 (GENE3D), IPR016040 (G3DSA:3.40.50.GENE3D), IPR002937 (PFAM), PTHR10742 (PANTHER), PTHR10742:SF183 (PANTHER), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK), SSF51905 (SUPERFAMILY),  SSF54373 (SUPERFAMILY)"	"P:GO:0055114,  F:GO:0016491"	"P:oxidation-reduction process, F:oxidoreductase activity"
FVEG_12837	6-hydroxy-d-nicotine oxidase	"GO:0055114, GO:0006357, GO:0008270, GO:0000981, GO:0003677, GO:0050660, GO:0008762, GO:0005634,  GO:0006040"	"oxidation-reduction process, regulation of transcription from RNA polymerase II promoter, zinc ion binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, DNA binding, flavin adenine dinucleotide binding, UDP-N-acetylmuramate dehydrogenase activity, nucleus,  amino sugar metabolic process"	"P, P, F, F, F, F, F, C,  P"	EC:1.1.1.158	"IPR016167 (G3DSA:3.30.43.GENE3D), IPR016169 (G3DSA:3.30.465.GENE3D), IPR006094 (PFAM), PTHR11748:SF54 (PANTHER), PTHR11748 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), IPR016166 (PROSITE_PROFILES), IPR016164 (SUPERFAMILY),  IPR016166 (SUPERFAMILY)"	"F:GO:0003824, F:GO:0008762, P:GO:0055114, F:GO:0050660, F:GO:0016491,  F:GO:0016614"	"F:catalytic activity, F:UDP-N-acetylmuramate dehydrogenase activity, P:oxidation-reduction process, F:flavin adenine dinucleotide binding, F:oxidoreductase activity, F:oxidoreductase activity, acting on CH-OH group of donors"
FVEG_12879	wd40 repeat-like protein					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_12881	fad binding domain-containing protein					"PF12697 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_12896	hypothetical protein FVEG_12896	GO:0005515	protein binding	F		"IPR001810 (PFAM), G3DSA:3.80.10.10 (GENE3D), IPR001810 (PROSITE_PROFILES), IPR001810 (SUPERFAMILY),  SSF52047 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_12898	3-hydroxybenzoate 6-hydroxylase 1	"GO:0055114,  GO:0016491"	"oxidation-reduction process,  oxidoreductase activity"	"P,  F"		"IPR003042 (PRINTS), IPR002938 (PFAM), G3DSA:3.50.50.60 (GENE3D), PTHR13789 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), PS51257 (PROSITE_PROFILES),  SSF51905 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_12901	adp-ribosylation factor-like protein 1	"GO:0005525, GO:0007264,  GO:0005622"	"GTP binding, small GTPase mediated signal transduction,  intracellular"	"F, P,  C"		"IPR006689 (PRINTS), IPR006689 (PFAM), IPR027417 (G3DSA:3.40.50.GENE3D), PTHR11711 (PANTHER), IPR024156 (PROSITE_PROFILES),  IPR027417 (SUPERFAMILY)"	"F:GO:0005525, P:GO:0007264,  C:GO:0005622"	"F:GTP binding, P:small GTPase mediated signal transduction, C:intracellular"
FVEG_12910	gluconolactonase	GO:0016787	hydrolase activity	F		"IPR013658 (PFAM), IPR011042 (G3DSA:2.120.10.GENE3D), PTHR10907 (PANTHER), PTHR10907:SF46 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SSF63829 (SUPERFAMILY)"	no GO terms	no GO terms
